평점,댓글
1,올해는 결국 마블이 잭스나이더의 저스티스리그를 못 이기고 넘어가는구나. 몬스터들이 왜 착해져야 되는지부터 몰입을 방해하므로 그래 액션이나 건져가자 했다만 초반 다리씬의 황홀함을 클라이막스에 암흑 싸구려 cg로 다운시키고 말더라
6,난 왜 재미가 없지? 이제 나이가 너무 들었나? 히어로영화 정말 좋아했었는데 ㅠㅠ
10,진심 개존잼 스토리랑 연출 다 미띰
7,결국 그 아이에게 남은 것은 그리움 뿐
10,20대후반인 제가 10대시절과 한자리수 나이대 시절 둘다 봤습니다..
10,지림..진짜재밋게봄 또보러갈구
4,잼없다...속지 마세요. 참신성이 떨어짐
10,시리즈 전체를 본 사람에게는 최고의 편순간울컥할뻔ㅠ
10,스파이더맨을 처음봤던 그 옛날의 나를 다시 만났다.
10,스파이더맨의 모든게 압축되어있음
1,올해는 결국 마블이 잭스나이더의 저스티스리그를 못 이기고 넘어가는구나. 몬스터들이 왜 착해져야 되는지부터 몰입을 방해하므로 그래 액션이나 건져가자 했다만 초반 다리씬의 황홀함을 클라이막스에 암흑 싸구려 cg로 다운시키고 말더라
6,난 왜 재미가 없지? 이제 나이가 너무 들었나? 히어로영화 정말 좋아했었는데 ㅠㅠ
10,진심 개존잼 스토리랑 연출 다 미띰
7,결국 그 아이에게 남은 것은 그리움 뿐
10,20대후반인 제가 10대시절과 한자리수 나이대 시절 둘다 봤습니다..
10,지림..진짜재밋게봄 또보러갈구
4,잼없다...속지 마세요. 참신성이 떨어짐
10,시리즈 전체를 본 사람에게는 최고의 편순간울컥할뻔ㅠ
10,스파이더맨을 처음봤던 그 옛날의 나를 다시 만났다.
10,스파이더맨의 모든게 압축되어있음
1,올해는 결국 마블이 잭스나이더의 저스티스리그를 못 이기고 넘어가는구나. 몬스터들이 왜 착해져야 되는지부터 몰입을 방해하므로 그래 액션이나 건져가자 했다만 초반 다리씬의 황홀함을 클라이막스에 암흑 싸구려 cg로 다운시키고 말더라
6,난 왜 재미가 없지? 이제 나이가 너무 들었나? 히어로영화 정말 좋아했었는데 ㅠㅠ
10,진심 개존잼 스토리랑 연출 다 미띰
7,결국 그 아이에게 남은 것은 그리움 뿐
10,20대후반인 제가 10대시절과 한자리수 나이대 시절 둘다 봤습니다..
10,지림..진짜재밋게봄 또보러갈구
4,잼없다...속지 마세요. 참신성이 떨어짐
10,시리즈 전체를 본 사람에게는 최고의 편순간울컥할뻔ㅠ
10,스파이더맨을 처음봤던 그 옛날의 나를 다시 만났다.
10,스파이더맨의 모든게 압축되어있음
1,올해는 결국 마블이 잭스나이더의 저스티스리그를 못 이기고 넘어가는구나. 몬스터들이 왜 착해져야 되는지부터 몰입을 방해하므로 그래 액션이나 건져가자 했다만 초반 다리씬의 황홀함을 클라이막스에 암흑 싸구려 cg로 다운시키고 말더라
6,난 왜 재미가 없지? 이제 나이가 너무 들었나? 히어로영화 정말 좋아했었는데 ㅠㅠ
10,진심 개존잼 스토리랑 연출 다 미띰
7,결국 그 아이에게 남은 것은 그리움 뿐
10,20대후반인 제가 10대시절과 한자리수 나이대 시절 둘다 봤습니다..
10,지림..진짜재밋게봄 또보러갈구
4,잼없다...속지 마세요. 참신성이 떨어짐
10,시리즈 전체를 본 사람에게는 최고의 편순간울컥할뻔ㅠ
10,스파이더맨을 처음봤던 그 옛날의 나를 다시 만났다.
10,스파이더맨의 모든게 압축되어있음
1,올해는 결국 마블이 잭스나이더의 저스티스리그를 못 이기고 넘어가는구나. 몬스터들이 왜 착해져야 되는지부터 몰입을 방해하므로 그래 액션이나 건져가자 했다만 초반 다리씬의 황홀함을 클라이막스에 암흑 싸구려 cg로 다운시키고 말더라
6,난 왜 재미가 없지? 이제 나이가 너무 들었나? 히어로영화 정말 좋아했었는데 ㅠㅠ
10,진심 개존잼 스토리랑 연출 다 미띰
7,결국 그 아이에게 남은 것은 그리움 뿐
10,20대후반인 제가 10대시절과 한자리수 나이대 시절 둘다 봤습니다..
10,지림..진짜재밋게봄 또보러갈구
4,잼없다...속지 마세요. 참신성이 떨어짐
10,시리즈 전체를 본 사람에게는 최고의 편순간울컥할뻔ㅠ
10,스파이더맨을 처음봤던 그 옛날의 나를 다시 만났다.
10,스파이더맨의 모든게 압축되어있음
1,올해는 결국 마블이 잭스나이더의 저스티스리그를 못 이기고 넘어가는구나. 몬스터들이 왜 착해져야 되는지부터 몰입을 방해하므로 그래 액션이나 건져가자 했다만 초반 다리씬의 황홀함을 클라이막스에 암흑 싸구려 cg로 다운시키고 말더라
6,난 왜 재미가 없지? 이제 나이가 너무 들었나? 히어로영화 정말 좋아했었는데 ㅠㅠ
10,진심 개존잼 스토리랑 연출 다 미띰
7,결국 그 아이에게 남은 것은 그리움 뿐
10,20대후반인 제가 10대시절과 한자리수 나이대 시절 둘다 봤습니다..
10,지림..진짜재밋게봄 또보러갈구
4,잼없다...속지 마세요. 참신성이 떨어짐
10,시리즈 전체를 본 사람에게는 최고의 편순간울컥할뻔ㅠ
10,스파이더맨을 처음봤던 그 옛날의 나를 다시 만났다.
10,스파이더맨의 모든게 압축되어있음
1,올해는 결국 마블이 잭스나이더의 저스티스리그를 못 이기고 넘어가는구나. 몬스터들이 왜 착해져야 되는지부터 몰입을 방해하므로 그래 액션이나 건져가자 했다만 초반 다리씬의 황홀함을 클라이막스에 암흑 싸구려 cg로 다운시키고 말더라
6,난 왜 재미가 없지? 이제 나이가 너무 들었나? 히어로영화 정말 좋아했었는데 ㅠㅠ
10,진심 개존잼 스토리랑 연출 다 미띰
7,결국 그 아이에게 남은 것은 그리움 뿐
10,20대후반인 제가 10대시절과 한자리수 나이대 시절 둘다 봤습니다..
10,지림..진짜재밋게봄 또보러갈구
4,잼없다...속지 마세요. 참신성이 떨어짐
10,시리즈 전체를 본 사람에게는 최고의 편순간울컥할뻔ㅠ
10,스파이더맨을 처음봤던 그 옛날의 나를 다시 만났다.
10,스파이더맨의 모든게 압축되어있음
1,올해는 결국 마블이 잭스나이더의 저스티스리그를 못 이기고 넘어가는구나. 몬스터들이 왜 착해져야 되는지부터 몰입을 방해하므로 그래 액션이나 건져가자 했다만 초반 다리씬의 황홀함을 클라이막스에 암흑 싸구려 cg로 다운시키고 말더라
6,난 왜 재미가 없지? 이제 나이가 너무 들었나? 히어로영화 정말 좋아했었는데 ㅠㅠ
10,진심 개존잼 스토리랑 연출 다 미띰
7,결국 그 아이에게 남은 것은 그리움 뿐
10,20대후반인 제가 10대시절과 한자리수 나이대 시절 둘다 봤습니다..
10,지림..진짜재밋게봄 또보러갈구
4,잼없다...속지 마세요. 참신성이 떨어짐
10,시리즈 전체를 본 사람에게는 최고의 편순간울컥할뻔ㅠ
10,스파이더맨을 처음봤던 그 옛날의 나를 다시 만났다.
10,스파이더맨의 모든게 압축되어있음
1,올해는 결국 마블이 잭스나이더의 저스티스리그를 못 이기고 넘어가는구나. 몬스터들이 왜 착해져야 되는지부터 몰입을 방해하므로 그래 액션이나 건져가자 했다만 초반 다리씬의 황홀함을 클라이막스에 암흑 싸구려 cg로 다운시키고 말더라
6,난 왜 재미가 없지? 이제 나이가 너무 들었나? 히어로영화 정말 좋아했었는데 ㅠㅠ
10,진심 개존잼 스토리랑 연출 다 미띰
7,결국 그 아이에게 남은 것은 그리움 뿐
10,20대후반인 제가 10대시절과 한자리수 나이대 시절 둘다 봤습니다..
10,지림..진짜재밋게봄 또보러갈구
4,잼없다...속지 마세요. 참신성이 떨어짐
10,시리즈 전체를 본 사람에게는 최고의 편순간울컥할뻔ㅠ
10,스파이더맨을 처음봤던 그 옛날의 나를 다시 만났다.
10,스파이더맨의 모든게 압축되어있음
1,올해는 결국 마블이 잭스나이더의 저스티스리그를 못 이기고 넘어가는구나. 몬스터들이 왜 착해져야 되는지부터 몰입을 방해하므로 그래 액션이나 건져가자 했다만 초반 다리씬의 황홀함을 클라이막스에 암흑 싸구려 cg로 다운시키고 말더라
6,난 왜 재미가 없지? 이제 나이가 너무 들었나? 히어로영화 정말 좋아했었는데 ㅠㅠ
10,진심 개존잼 스토리랑 연출 다 미띰
7,결국 그 아이에게 남은 것은 그리움 뿐
10,20대후반인 제가 10대시절과 한자리수 나이대 시절 둘다 봤습니다..
10,지림..진짜재밋게봄 또보러갈구
4,잼없다...속지 마세요. 참신성이 떨어짐
10,시리즈 전체를 본 사람에게는 최고의 편순간울컥할뻔ㅠ
10,스파이더맨을 처음봤던 그 옛날의 나를 다시 만났다.
10,스파이더맨의 모든게 압축되어있음
1,올해는 결국 마블이 잭스나이더의 저스티스리그를 못 이기고 넘어가는구나. 몬스터들이 왜 착해져야 되는지부터 몰입을 방해하므로 그래 액션이나 건져가자 했다만 초반 다리씬의 황홀함을 클라이막스에 암흑 싸구려 cg로 다운시키고 말더라
6,난 왜 재미가 없지? 이제 나이가 너무 들었나? 히어로영화 정말 좋아했었는데 ㅠㅠ
10,진심 개존잼 스토리랑 연출 다 미띰
7,결국 그 아이에게 남은 것은 그리움 뿐
10,20대후반인 제가 10대시절과 한자리수 나이대 시절 둘다 봤습니다..
10,지림..진짜재밋게봄 또보러갈구
4,잼없다...속지 마세요. 참신성이 떨어짐
10,시리즈 전체를 본 사람에게는 최고의 편순간울컥할뻔ㅠ
10,스파이더맨을 처음봤던 그 옛날의 나를 다시 만났다.
10,스파이더맨의 모든게 압축되어있음
1,올해는 결국 마블이 잭스나이더의 저스티스리그를 못 이기고 넘어가는구나. 몬스터들이 왜 착해져야 되는지부터 몰입을 방해하므로 그래 액션이나 건져가자 했다만 초반 다리씬의 황홀함을 클라이막스에 암흑 싸구려 cg로 다운시키고 말더라
6,난 왜 재미가 없지? 이제 나이가 너무 들었나? 히어로영화 정말 좋아했었는데 ㅠㅠ
10,진심 개존잼 스토리랑 연출 다 미띰
7,결국 그 아이에게 남은 것은 그리움 뿐
10,20대후반인 제가 10대시절과 한자리수 나이대 시절 둘다 봤습니다..
10,지림..진짜재밋게봄 또보러갈구
4,잼없다...속지 마세요. 참신성이 떨어짐
10,시리즈 전체를 본 사람에게는 최고의 편순간울컥할뻔ㅠ
10,스파이더맨을 처음봤던 그 옛날의 나를 다시 만났다.
10,스파이더맨의 모든게 압축되어있음
1,올해는 결국 마블이 잭스나이더의 저스티스리그를 못 이기고 넘어가는구나. 몬스터들이 왜 착해져야 되는지부터 몰입을 방해하므로 그래 액션이나 건져가자 했다만 초반 다리씬의 황홀함을 클라이막스에 암흑 싸구려 cg로 다운시키고 말더라
6,난 왜 재미가 없지? 이제 나이가 너무 들었나? 히어로영화 정말 좋아했었는데 ㅠㅠ
10,진심 개존잼 스토리랑 연출 다 미띰
7,결국 그 아이에게 남은 것은 그리움 뿐
10,20대후반인 제가 10대시절과 한자리수 나이대 시절 둘다 봤습니다..
10,지림..진짜재밋게봄 또보러갈구
4,잼없다...속지 마세요. 참신성이 떨어짐
10,시리즈 전체를 본 사람에게는 최고의 편순간울컥할뻔ㅠ
10,스파이더맨을 처음봤던 그 옛날의 나를 다시 만났다.
10,스파이더맨의 모든게 압축되어있음
1,올해는 결국 마블이 잭스나이더의 저스티스리그를 못 이기고 넘어가는구나. 몬스터들이 왜 착해져야 되는지부터 몰입을 방해하므로 그래 액션이나 건져가자 했다만 초반 다리씬의 황홀함을 클라이막스에 암흑 싸구려 cg로 다운시키고 말더라
6,난 왜 재미가 없지? 이제 나이가 너무 들었나? 히어로영화 정말 좋아했었는데 ㅠㅠ
10,진심 개존잼 스토리랑 연출 다 미띰
7,결국 그 아이에게 남은 것은 그리움 뿐
10,20대후반인 제가 10대시절과 한자리수 나이대 시절 둘다 봤습니다..
10,지림..진짜재밋게봄 또보러갈구
4,잼없다...속지 마세요. 참신성이 떨어짐
10,시리즈 전체를 본 사람에게는 최고의 편순간울컥할뻔ㅠ
10,스파이더맨을 처음봤던 그 옛날의 나를 다시 만났다.
10,스파이더맨의 모든게 압축되어있음
1,올해는 결국 마블이 잭스나이더의 저스티스리그를 못 이기고 넘어가는구나. 몬스터들이 왜 착해져야 되는지부터 몰입을 방해하므로 그래 액션이나 건져가자 했다만 초반 다리씬의 황홀함을 클라이막스에 암흑 싸구려 cg로 다운시키고 말더라
6,난 왜 재미가 없지? 이제 나이가 너무 들었나? 히어로영화 정말 좋아했었는데 ㅠㅠ
10,진심 개존잼 스토리랑 연출 다 미띰
7,결국 그 아이에게 남은 것은 그리움 뿐
10,20대후반인 제가 10대시절과 한자리수 나이대 시절 둘다 봤습니다..
10,지림..진짜재밋게봄 또보러갈구
4,잼없다...속지 마세요. 참신성이 떨어짐
10,시리즈 전체를 본 사람에게는 최고의 편순간울컥할뻔ㅠ
10,스파이더맨을 처음봤던 그 옛날의 나를 다시 만났다.
10,스파이더맨의 모든게 압축되어있음
1,올해는 결국 마블이 잭스나이더의 저스티스리그를 못 이기고 넘어가는구나. 몬스터들이 왜 착해져야 되는지부터 몰입을 방해하므로 그래 액션이나 건져가자 했다만 초반 다리씬의 황홀함을 클라이막스에 암흑 싸구려 cg로 다운시키고 말더라
6,난 왜 재미가 없지? 이제 나이가 너무 들었나? 히어로영화 정말 좋아했었는데 ㅠㅠ
10,진심 개존잼 스토리랑 연출 다 미띰
7,결국 그 아이에게 남은 것은 그리움 뿐
10,20대후반인 제가 10대시절과 한자리수 나이대 시절 둘다 봤습니다..
10,지림..진짜재밋게봄 또보러갈구
4,잼없다...속지 마세요. 참신성이 떨어짐
10,시리즈 전체를 본 사람에게는 최고의 편순간울컥할뻔ㅠ
10,스파이더맨을 처음봤던 그 옛날의 나를 다시 만났다.
10,스파이더맨의 모든게 압축되어있음
1,올해는 결국 마블이 잭스나이더의 저스티스리그를 못 이기고 넘어가는구나. 몬스터들이 왜 착해져야 되는지부터 몰입을 방해하므로 그래 액션이나 건져가자 했다만 초반 다리씬의 황홀함을 클라이막스에 암흑 싸구려 cg로 다운시키고 말더라
6,난 왜 재미가 없지? 이제 나이가 너무 들었나? 히어로영화 정말 좋아했었는데 ㅠㅠ
10,진심 개존잼 스토리랑 연출 다 미띰
7,결국 그 아이에게 남은 것은 그리움 뿐
10,20대후반인 제가 10대시절과 한자리수 나이대 시절 둘다 봤습니다..
10,지림..진짜재밋게봄 또보러갈구
4,잼없다...속지 마세요. 참신성이 떨어짐
10,시리즈 전체를 본 사람에게는 최고의 편순간울컥할뻔ㅠ
10,스파이더맨을 처음봤던 그 옛날의 나를 다시 만났다.
10,스파이더맨의 모든게 압축되어있음
1,올해는 결국 마블이 잭스나이더의 저스티스리그를 못 이기고 넘어가는구나. 몬스터들이 왜 착해져야 되는지부터 몰입을 방해하므로 그래 액션이나 건져가자 했다만 초반 다리씬의 황홀함을 클라이막스에 암흑 싸구려 cg로 다운시키고 말더라
6,난 왜 재미가 없지? 이제 나이가 너무 들었나? 히어로영화 정말 좋아했었는데 ㅠㅠ
10,진심 개존잼 스토리랑 연출 다 미띰
7,결국 그 아이에게 남은 것은 그리움 뿐
10,20대후반인 제가 10대시절과 한자리수 나이대 시절 둘다 봤습니다..
10,지림..진짜재밋게봄 또보러갈구
4,잼없다...속지 마세요. 참신성이 떨어짐
10,시리즈 전체를 본 사람에게는 최고의 편순간울컥할뻔ㅠ
10,스파이더맨을 처음봤던 그 옛날의 나를 다시 만났다.
10,스파이더맨의 모든게 압축되어있음
1,올해는 결국 마블이 잭스나이더의 저스티스리그를 못 이기고 넘어가는구나. 몬스터들이 왜 착해져야 되는지부터 몰입을 방해하므로 그래 액션이나 건져가자 했다만 초반 다리씬의 황홀함을 클라이막스에 암흑 싸구려 cg로 다운시키고 말더라
6,난 왜 재미가 없지? 이제 나이가 너무 들었나? 히어로영화 정말 좋아했었는데 ㅠㅠ
10,진심 개존잼 스토리랑 연출 다 미띰
7,결국 그 아이에게 남은 것은 그리움 뿐
10,20대후반인 제가 10대시절과 한자리수 나이대 시절 둘다 봤습니다..
10,지림..진짜재밋게봄 또보러갈구
4,잼없다...속지 마세요. 참신성이 떨어짐
10,시리즈 전체를 본 사람에게는 최고의 편순간울컥할뻔ㅠ
10,스파이더맨을 처음봤던 그 옛날의 나를 다시 만났다.
10,스파이더맨의 모든게 압축되어있음
1,올해는 결국 마블이 잭스나이더의 저스티스리그를 못 이기고 넘어가는구나. 몬스터들이 왜 착해져야 되는지부터 몰입을 방해하므로 그래 액션이나 건져가자 했다만 초반 다리씬의 황홀함을 클라이막스에 암흑 싸구려 cg로 다운시키고 말더라
6,난 왜 재미가 없지? 이제 나이가 너무 들었나? 히어로영화 정말 좋아했었는데 ㅠㅠ
10,진심 개존잼 스토리랑 연출 다 미띰
7,결국 그 아이에게 남은 것은 그리움 뿐
10,20대후반인 제가 10대시절과 한자리수 나이대 시절 둘다 봤습니다..
10,지림..진짜재밋게봄 또보러갈구
4,잼없다...속지 마세요. 참신성이 떨어짐
10,시리즈 전체를 본 사람에게는 최고의 편순간울컥할뻔ㅠ
10,스파이더맨을 처음봤던 그 옛날의 나를 다시 만났다.
10,스파이더맨의 모든게 압축되어있음
1,올해는 결국 마블이 잭스나이더의 저스티스리그를 못 이기고 넘어가는구나. 몬스터들이 왜 착해져야 되는지부터 몰입을 방해하므로 그래 액션이나 건져가자 했다만 초반 다리씬의 황홀함을 클라이막스에 암흑 싸구려 cg로 다운시키고 말더라
6,난 왜 재미가 없지? 이제 나이가 너무 들었나? 히어로영화 정말 좋아했었는데 ㅠㅠ
10,진심 개존잼 스토리랑 연출 다 미띰
7,결국 그 아이에게 남은 것은 그리움 뿐
10,20대후반인 제가 10대시절과 한자리수 나이대 시절 둘다 봤습니다..
10,지림..진짜재밋게봄 또보러갈구
4,잼없다...속지 마세요. 참신성이 떨어짐
10,시리즈 전체를 본 사람에게는 최고의 편순간울컥할뻔ㅠ
10,스파이더맨을 처음봤던 그 옛날의 나를 다시 만났다.
10,스파이더맨의 모든게 압축되어있음
1,올해는 결국 마블이 잭스나이더의 저스티스리그를 못 이기고 넘어가는구나. 몬스터들이 왜 착해져야 되는지부터 몰입을 방해하므로 그래 액션이나 건져가자 했다만 초반 다리씬의 황홀함을 클라이막스에 암흑 싸구려 cg로 다운시키고 말더라
6,난 왜 재미가 없지? 이제 나이가 너무 들었나? 히어로영화 정말 좋아했었는데 ㅠㅠ
10,진심 개존잼 스토리랑 연출 다 미띰
7,결국 그 아이에게 남은 것은 그리움 뿐
10,20대후반인 제가 10대시절과 한자리수 나이대 시절 둘다 봤습니다..
10,지림..진짜재밋게봄 또보러갈구
4,잼없다...속지 마세요. 참신성이 떨어짐
10,시리즈 전체를 본 사람에게는 최고의 편순간울컥할뻔ㅠ
10,스파이더맨을 처음봤던 그 옛날의 나를 다시 만났다.
10,스파이더맨의 모든게 압축되어있음
1,올해는 결국 마블이 잭스나이더의 저스티스리그를 못 이기고 넘어가는구나. 몬스터들이 왜 착해져야 되는지부터 몰입을 방해하므로 그래 액션이나 건져가자 했다만 초반 다리씬의 황홀함을 클라이막스에 암흑 싸구려 cg로 다운시키고 말더라
6,난 왜 재미가 없지? 이제 나이가 너무 들었나? 히어로영화 정말 좋아했었는데 ㅠㅠ
10,진심 개존잼 스토리랑 연출 다 미띰
7,결국 그 아이에게 남은 것은 그리움 뿐
10,20대후반인 제가 10대시절과 한자리수 나이대 시절 둘다 봤습니다..
10,지림..진짜재밋게봄 또보러갈구
4,잼없다...속지 마세요. 참신성이 떨어짐
10,시리즈 전체를 본 사람에게는 최고의 편순간울컥할뻔ㅠ
10,스파이더맨을 처음봤던 그 옛날의 나를 다시 만났다.
10,스파이더맨의 모든게 압축되어있음
1,올해는 결국 마블이 잭스나이더의 저스티스리그를 못 이기고 넘어가는구나. 몬스터들이 왜 착해져야 되는지부터 몰입을 방해하므로 그래 액션이나 건져가자 했다만 초반 다리씬의 황홀함을 클라이막스에 암흑 싸구려 cg로 다운시키고 말더라
6,난 왜 재미가 없지? 이제 나이가 너무 들었나? 히어로영화 정말 좋아했었는데 ㅠㅠ
10,진심 개존잼 스토리랑 연출 다 미띰
7,결국 그 아이에게 남은 것은 그리움 뿐
10,20대후반인 제가 10대시절과 한자리수 나이대 시절 둘다 봤습니다..
10,지림..진짜재밋게봄 또보러갈구
4,잼없다...속지 마세요. 참신성이 떨어짐
10,시리즈 전체를 본 사람에게는 최고의 편순간울컥할뻔ㅠ
10,스파이더맨을 처음봤던 그 옛날의 나를 다시 만났다.
10,스파이더맨의 모든게 압축되어있음
1,올해는 결국 마블이 잭스나이더의 저스티스리그를 못 이기고 넘어가는구나. 몬스터들이 왜 착해져야 되는지부터 몰입을 방해하므로 그래 액션이나 건져가자 했다만 초반 다리씬의 황홀함을 클라이막스에 암흑 싸구려 cg로 다운시키고 말더라
6,난 왜 재미가 없지? 이제 나이가 너무 들었나? 히어로영화 정말 좋아했었는데 ㅠㅠ
10,진심 개존잼 스토리랑 연출 다 미띰
7,결국 그 아이에게 남은 것은 그리움 뿐
10,20대후반인 제가 10대시절과 한자리수 나이대 시절 둘다 봤습니다..
10,지림..진짜재밋게봄 또보러갈구
4,잼없다...속지 마세요. 참신성이 떨어짐
10,시리즈 전체를 본 사람에게는 최고의 편순간울컥할뻔ㅠ
10,스파이더맨을 처음봤던 그 옛날의 나를 다시 만났다.
10,스파이더맨의 모든게 압축되어있음
1,올해는 결국 마블이 잭스나이더의 저스티스리그를 못 이기고 넘어가는구나. 몬스터들이 왜 착해져야 되는지부터 몰입을 방해하므로 그래 액션이나 건져가자 했다만 초반 다리씬의 황홀함을 클라이막스에 암흑 싸구려 cg로 다운시키고 말더라
